Id_ARTICOLO              ;AAR_DESCRIZ                                       ;AAR_DESCRIZAGG                                    ;AAR_ART_TIPO        ;AAR_COD_MADRE        ;AAR_COD_RADICE       ;AAR_ID_UM                ;AAR_LISVEN01;AAR_LISVEN02;AAR_LISVEN03;AAR_LISVEN04;AAR_LISACQO1;AAR_ID_CLIFOR            ;AAR_LISACQO2;AAR_ID_CLIFOR_2         ;emptyColumn
ASLGIABLXL               ;GIACCA SAIL BLU COT. 100%                         ;                                                  ;ART-CODICE          ;ASLGIABL             ;ASLGIA               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLGIABLXX               ;GIACCA SAIL BLU COT. 100%                         ;                                                  ;ART-CODICE          ;ASLGIABL             ;ASLGIA               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLGIU                   ;GIUBBINO SAIL COT. 100%                           ;GR 250 X MTQ                                      ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLGIUBL                 ;GIUBBINO SAIL BLU COT. 100%                       ;GR 250 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;3,09;3,09;            ;3,09;            ;0;            ;0;
ASLGIUBLLL               ;GIUBBINO SAIL BLU COT. 100%                       ;                                                  ;ART-CODICE          ;ASLGIUBL             ;ASLGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLGIUBLXL               ;GIUBBINO SAIL BLU COT. 100%                       ;                                                  ;ART-CODICE          ;ASLGIUBL             ;ASLGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLGIUBLXX               ;GIUBBINO SAIL BLU COT. 100%                       ;                                                  ;ART-CODICE          ;ASLGIUBL             ;ASLGIU               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPA2                   ;PANTALONE SAIL COT. 100%                          ;GR 250 X MTQ PAKWINZ                              ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPA2BL                 ;PANTALONE SAIL COT. 100% BLU                      ;GR 250 X MTQ PAKWINZ                              ;ART-MADRE           ;                     ;                     ;NR                       ;3,09;3,09;            ;3,09;            ;0;            ;0;
ASLPA2BL L               ;PANTALONE SAIL COT. 100%                          ;                                                  ;ART-CODICE          ;ASLPA2BL             ;ASLPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPA2BL M               ;PANTALONE SAIL COT. 100%                          ;                                                  ;ART-CODICE          ;ASLPA2BL             ;ASLPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPA2BLLL               ;PANTALONE SAIL COT. 100%                          ;                                                  ;ART-CODICE          ;ASLPA2BL             ;ASLPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPA2BLXL               ;PANTALONE SAIL COT. 100%                          ;                                                  ;ART-CODICE          ;ASLPA2BL             ;ASLPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPA2BLXX               ;PANTALONE SAIL COT. 100%                          ;                                                  ;ART-CODICE          ;ASLPA2BL             ;ASLPA2               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPAN                   ;PANTALONE SAIL COT. 100%                          ;GR 250 X MTQ                                      ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPANBL                 ;PANTALONE SAIL BLU COT. 100%                      ;GR 250 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;3,09;3,09;            ;3,09;            ;0;            ;0;
ASLPANBL S               ;PANTALONE SAIL BLU COT. 100%                      ;                                                  ;ART-CODICE          ;ASLPANBL             ;ASLPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPANBLLL               ;PANTALONE SAIL BLU COT. 100%                      ;                                                  ;ART-CODICE          ;ASLPANBL             ;ASLPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPANBLXS               ;PANTALONE SAIL BLU COT. 100%                      ;                                                  ;ART-CODICE          ;ASLPANBL             ;ASLPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLPANBLXX               ;PANTALONE SAIL BLU COT. 100%                      ;                                                  ;ART-CODICE          ;ASLPANBL             ;ASLPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLTUT                   ;TUTA SAIL COT. 100%                               ;GR 250 X MTQ                                      ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASLTUTBL                 ;TUTA SAIL BLU COT. 100%                           ;GR 250 X MTQ                                      ;ART-MADRE           ;                     ;                     ;NR                       ;9,76;10,14;            ;9,39;            ;0;            ;0;
ASLTUTBL M               ;TUTA SAIL BLU COT. 100%                           ;                                                  ;ART-CODICE          ;ASLTUTBL             ;ASLTUT               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPAN                   ;PANTALONI STRETCH 98% COT.-2% SPANDEX             ;                                                  ;ART-RADICE          ;                     ;                     ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBL                 ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;15,2;16,3;            ;14,8;            ;0;            ;0;
ASTPANBL L               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBL M               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBL S               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBLLL               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBLXL               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBLXS               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANBLXX               ;PANTALONI STRETCH BLU 98% COT./2% SPANDEX         ;                                                  ;ART-CODICE          ;ASTPANBL             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANGR                 ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-MADRE           ;                     ;                     ;NR                       ;15,2;16,3;            ;14,8;            ;0;            ;0;
ASTPANGR L               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANGR M               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANGR S               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
ASTPANGRLL               ;PANTALONI STRETCH GRIGIO 98% COT./2% SPANDEX      ;                                                  ;ART-CODICE          ;ASTPANGR             ;ASTPAN               ;NR                       ;            ;            ;            ;            ;            ;0;            ;0;
